"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"230180_at",316.446400529464,-3.35552706404144,0.418725052521292,-8.01367638223848,1.11329412153707e-15,1.90854307362883e-13
"230213_at",84.5080147228287,-1.27932090335235,0.220036047702826,-5.81414234943977,6.094553679929e-09,1.57331506871324e-07
"230245_s_at",386.535777336031,-2.33501232997059,0.307301537502855,-7.59844011502511,2.9972149570248e-14,3.49287773009401e-12
"230256_at",68.9472143698427,-1.48490469576383,0.204083612225057,-7.27596243311453,3.43959304605492e-13,3.04384790669274e-11
"230422_at",32.7770761626468,1.02128387968335,0.276381398402609,3.6951975986301,0.000219715845330133,0.00137254214139048
"230543_at",108.473518192547,-1.09446153895832,0.167585038821137,-6.53078309768711,6.54266928480743e-11,3.01008301322253e-09
"230609_at",79.2122144036219,-1.23450980827112,0.179875062288404,-6.86315152620633,6.73577111931762e-12,4.04054624014577e-10
"230629_s_at",23.958346810704,-1.21433651574096,0.284380548258907,-4.27011102965946,1.95375681044655e-05,0.000174754643636241
"230648_at",100.0143180108,-1.28894871918697,0.221723137929068,-5.813325263326,6.12438963534272e-09,1.57601754293148e-07
"230707_at",203.197315311306,-1.10868452040356,0.18691624705521,-5.93145078542095,3.00269569602955e-09,8.64345070106265e-08
"230877_at",222.509715484436,-2.49671971690427,0.469798067741432,-5.31445292848334,1.06978230375101e-07,1.92517150091355e-06
"230885_at",54.7837164642533,-1.41574902619067,0.161419921563345,-8.77059666786601,1.77721979787452e-18,6.02750929909904e-16
"230983_at",168.384578967518,-1.71774083033701,0.258963320543504,-6.63314336073491,3.28612359280189e-11,1.64020968913172e-09
"231038_s_at",43.2389238674455,-1.25811344608459,0.179225280396825,-7.01973205620875,2.222941277171e-12,1.51171435851624e-10
"231078_at",50.8099143698114,-3.60235524122236,0.364796596166269,-9.87496944620738,5.34492468509965e-23,5.23683843035652e-20
"231108_at",166.627501665568,-1.01457960476172,0.113697127259541,-8.92352893354727,4.5166169229453e-19,1.75709682469993e-16
"231182_at",159.307368382658,-1.01531394116886,0.139076934859712,-7.30037617087994,2.8696428921493e-13,2.63588656489297e-11
"231274_s_at",437.298361550614,-2.07355523828628,0.306311119694854,-6.76944160679493,1.2928037759483e-11,7.12496481019508e-10
"231418_at",50.9470730759005,-1.69405991723103,0.269439528894003,-6.28734738434563,3.22936217082582e-10,1.2274360182044e-08
"231647_s_at",53.0666010586069,-1.66388984174508,0.330035838314351,-5.04154291316772,4.61793267501441e-07,7.02950730989612e-06
"231688_at",24.4209109928498,-1.49768382848401,0.267467517607073,-5.59949799468438,2.14973420153132e-08,4.75891787174138e-07
"231721_at",17.7731639350797,1.08510527599556,0.355420799123002,3.05301568921418,0.00226554093110916,0.00958461854974601
